"歷年中華民國國民出國人次按性別分
Outbound Departures of Nationals of the 
Republic of China by Gender",,,,,
"年度
Year","合計
Total",男  Male,,女  Female,
,,"人次
No. of Visitors","佔合計百分比
% of Total","人次
No. of Visitors","佔合計百分比
% of Total"
83 年 1994," 4,744,434 "," 2,670,349 ", 56.28 ," 2,074,085 ", 43.72 
84 年 1995," 5,188,658 "," 2,936,069 ", 56.59 ," 2,252,589 ", 43.41 
85 年 1996," 5,713,535 "," 3,220,647 ", 56.37 ," 2,492,888 ", 43.63 
86 年 1997," 6,161,932 "," 3,501,660 ", 56.83 ," 2,660,272 ", 43.17 
87 年 1998," 5,912,383 "," 3,450,728 ", 58.36 ," 2,461,655 ", 41.64 
88 年 1999," 6,558,663 "," 3,800,130 ", 57.94 ," 2,758,533 ", 42.06 
89 年 2000," 7,328,784 "," 4,255,656 ", 58.07 ," 3,073,128 ", 41.93 
90 年 2001," 7,152,877 "," 4,217,337 ", 58.96 ," 2,935,540 ", 41.04 
91 年 2002," 7,319,466 "," 4,279,841 ", 58.47 ," 3,039,625 ", 41.53 
92 年 2003," 5,923,072 "," 3,502,264 ", 59.13 ," 2,420,808 ", 40.87 
93 年 2004," 7,780,652 "," 4,518,972 ", 58.08 ," 3,261,680 ", 41.92 
94 年 2005," 8,208,125 "," 4,761,492 ", 58.01 ," 3,446,633 ", 41.99 
95 年 2006," 8,671,375 "," 4,954,647 ", 57.14 ," 3,716,728 ", 42.86 
96 年 2007," 8,963,712 "," 5,083,013 ", 56.71 ," 3,880,699 ", 43.29 
97 年 2008," 8,465,172 "," 4,835,437 ", 57.12 ," 3,629,735 ", 42.88 
98 年 2009," 8,142,946 "," 4,628,499 ", 56.84 ," 3,514,447 ", 43.16 
99 年 2010," 9,415,074 "," 5,222,821 ", 55.47 ," 4,192,253 ", 44.53 
100 年 2011," 9,583,873 "," 5,300,378 ", 55.31 ," 4,283,495 ", 44.69 
101 年 2012," 10,239,760 "," 5,547,161 ", 54.17 ," 4,692,599 ", 45.83 
102 年 2013," 11,052,908 "," 5,863,157 ", 53.05 ," 5,189,751 ", 46.95 
103 年 2014," 11,844,635 "," 6,188,931 ", 52.25 ," 5,655,704 ", 47.75 
104 年 2015," 13,182,976 "," 6,767,955 ", 51.34 ," 6,415,021 ", 48.66 
105 年 2016," 14,588,923 "," 7,326,824 ", 50.22 ," 7,262,099 ", 49.78 
106 年 2017," 15,654,579 "," 7,775,669 ", 49.67 ," 7,878,910 ", 50.33 
107 年 2018," 16,644,684 "," 8,204,781 ", 49.29 ," 8,439,903 ", 50.71 
108 年 2019," 17,101,335 "," 8,364,428 ", 48.91 ," 8,736,907 ", 51.09 
109 年 2020," 2,335,564 "," 1,174,527 ", 50.29 ," 1,161,037 ", 49.71 
110 年 2021," 359,977 "," 203,543 ", 56.54 ," 156,434 ", 43.46 
111 年 2022," 1,482,821 "," 736,133 ", 49.64 ," 746,688 ", 50.36 
112 年 2023," 11,795,834 "," 5,521,711 ", 46.81 ," 6,274,123 ", 53.19 
113 年 2024," 16,849,683 "," 7,794,211 ", 46.26 ," 9,055,472 ", 53.74 
,,,,,
"註1: 90~92年全年及各月入出國旅客人數係依據內政部警政署函送追溯修正資料並奉行政院主計處92年11月10日處仁四字第0920006945號函暨 93年7月6日處仁七字第0930004287號函核定後更正。
註2:資料來源:內政部移民署提供。
註3:自民國78年7月開始實施兒童申請護照規定，之前未滿16歲兒童以加簽方式入出境者列入隨行人員。
Note 1: The monthly/annual inbound/outbound passenger data 2011-2013 is based on retrospective correction data provided National Police Agency, Ministry of the Interior. This was submitted to the Directorate General of Budget, Accounting and Statistics (DGBAS), Executive Yuan on November 10, 2013. DGBAS subsequently published documents #0920006945 and 0930004287 with corrected and approved data on July 6, 2014.
Note 2: Source: National Immigration Agency, Ministry of the Interior.
Note 3: Since July 1989, the regulations for children to apply for passports have been implemented. Prior to that time, children under the age of 16 are allowed to enter and exit the country with a visa tagged on to that of an adult in their entourage.",,,,,
